127.0.0.1 - - [02/Oct/2019:13:07:29 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [02/Oct/2019:13:07:34 +0530] "GET /RailwaySystem/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Oct/2019:13:07:34 +0530] "GET /RailwaySystem/r1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Oct/2019:13:07:34 +0530] "GET /RailwaySystem/r7.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Oct/2019:13:07:34 +0530] "GET /RailwaySystem/r4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Oct/2019:13:07:34 +0530] "GET /RailwaySystem/r3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Oct/2019:13:07:34 +0530] "GET /RailwaySystem/vision.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Oct/2019:13:07:34 +0530] "GET /RailwaySystem/r2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Oct/2019:13:07:35 +0530] "GET /RailwaySystem/mission%20image.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Oct/2019:13:07:35 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [02/Oct/2019:13:09:00 +0530] "GET /RailwaySystem/registration.jsp HTTP/1.1" 200 3777
0:0:0:0:0:0:0:1 - - [02/Oct/2019:13:09:00 +0530] "GET /RailwaySystem/header.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Oct/2019:13:09:00 +0530] "GET /RailwaySystem/Register.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Oct/2019:13:15:18 +0530] "GET /RailwaySystem/home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Oct/2019:13:15:21 +0530] "GET /RailwaySystem/login.jsp HTTP/1.1" 200 2013
0:0:0:0:0:0:0:1 - - [02/Oct/2019:13:15:21 +0530] "GET /RailwaySystem/js/jquery.js HTTP/1.1" 404 1108
0:0:0:0:0:0:0:1 - - [02/Oct/2019:13:15:21 +0530] "GET /RailwaySystem/js/bootstrap.min.js HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [02/Oct/2019:13:15:35 +0530] "GET /RailwaySystem/RegisterController?action=login&userid=1623110105&password=Aaryankhan84 HTTP/1.1" 200 5488
0:0:0:0:0:0:0:1 - - [02/Oct/2019:13:15:35 +0530] "GET /RailwaySystem/userhome.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Oct/2019:13:15:35 +0530] "GET /RailwaySystem/ban2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Oct/2019:13:15:35 +0530] "GET /RailwaySystem/ban5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Oct/2019:13:15:35 +0530] "GET /RailwaySystem/ban1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Oct/2019:13:15:35 +0530] "GET /RailwaySystem/shahnwaj.JPG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Oct/2019:13:15:35 +0530] "GET /RailwaySystem/ban3.jpg HTTP/1.1" 304 -
